Model Name,Price
"Redmi Note 7S (Sapphire Blue, 32 GB)","₹10,999"
"Redmi Y2 (Dark Grey, 64 GB)","₹10,990"
"Redmi Note 7S (Ruby Red, 32 GB)","₹10,999"
"Redmi Y2 (Dark Grey, 32 GB)","₹8,999"
"Redmi 7 (Comet Blue, 32 GB)","₹10,999"
"Redmi 6 Pro (Rose Gold, 64 GB)","₹10,498"
"Redmi Note 5 (Black, 32 GB)","₹9,999"
"Redmi Note 4 (Lake Blue, 64 GB)","₹10,990"
"Redmi Y2 (Black, 64 GB)","₹10,999"
"Redmi Note 5 (Rose Gold, 64 GB)","₹9,999"
"Mi A2 (Gold, 64 GB)","₹11,999"
"Redmi 6A (Black, 16 GB)","₹6,583"
"Redmi 5 (Black, 32 GB)","₹9,999"
"Redmi Y2 (Rose Gold, 64 GB)","₹11,990"
"Redmi Y1 (Grey, 64 GB)","₹9,999"
"Redmi Y2 (Blue, 64 GB)","₹11,990"
"Redmi Note 5 Pro (Blue, 64 GB)","₹12,889"
"Redmi 5 (Gold, 32 GB)","₹9,700"
"Redmi Note 5 Pro (Rose Gold, 64 GB)","₹11,490"
"Redmi Y1 lite (Grey, 16 GB)","₹7,899"
"Redmi Note 7 Pro (Space Black, 128 GB)","₹16,999"
"Redmi Y2 (Blue, 32 GB)","₹8,999"
"Redmi Note 7 (Sapphire Blue, 32 GB)","₹9,999"
"Mi A2 (Rose Gold, 64 GB)","₹11,999"
"Redmi 5 (Lake Blue, 16 GB)","₹6,999"
"Redmi 6A (Blue, 32 GB)","₹6,785"
"Redmi 6A (Black, 32 GB)","₹6,710"
"Redmi 6 Pro (Black, 32 GB)","₹9,955"
"Redmi 6 Pro (Red, 32 GB)","₹9,980"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹11,999"
"Redmi Note 5 (Black, 64 GB)","₹11,999"
"Redmi Note 5 (Rose Gold, 32 GB)","₹9,999"
"Redmi 6 Pro (Lake Blue, 64 GB)","₹11,030"
"Redmi 6 Pro (Gold, 32 GB)","₹9,899"
"Redmi Y3 (Prime Black, 32 GB)","₹11,390"
"POCO F1 by Xiaomi (Rosso Red, 64 GB)","₹19,999"
"Redmi Note 4 (Black, 32 GB)","₹8,999"
"Redmi 6A (Gold, 16 GB)","₹6,666"
"Redmi 6A (Rose Gold, 16 GB)","₹6,666"
"Redmi Note 5 (Gold, 32 GB)","₹9,399"
"Redmi 5 (Rose Gold, 64 GB)","₹10,290"
"Redmi 5 (Lake Blue, 32 GB)","₹9,499"
"Redmi 6 Pro (Gold, 64 GB)","₹10,838"
"Redmi Note 5 Pro (Blue, 64 GB)","₹13,800"
"Redmi 4 (Black, 32 GB)","₹8,290"
"Redmi 4 (Gold, 32 GB)","₹8,290"
"Redmi Y1 (Grey, 32 GB)","₹9,495"
"Redmi Y1 (Gold, 64 GB)","₹9,499"
